"Dataset: CMT / Instância: CMT120,7",,,,,,
Seed,Heurística Construtiva,,Heurística Construtiva + Refinamento,,GLS,
,Solucao,Tempo (Segundos),Solucao,Tempo (Segundos),Solucao,Tempo (Segundos)
1,"1562,06","0,022","1413,69","0,023","1508,78","0,037"
2,"1607,27","0,039","1522,23","0,041","1563,58","0,041"
3,"1617,29","0,038","1373,56","0,039","1360,74","0,041"
4,"1580,06","0,021","1406,52","0,022","1528,52","0,033"
5,"1593,10","0,031","1538,13","0,032","1447,48","0,034"
6,"1621,27","0,022","1556,87","0,024","1481,81","0,038"
7,"1582,84","0,021","1384,24","0,022","1547,19","0,033"
8,"1582,84","0,021","1502,32","1,022","1442,13","0,043"
9,"1576,35","0,021","1490,48","2,022","1346,80","0,034"
10,"1616,74","0,020","1534,47","3,022","1473,62","0,035"
11,"1562,15","0,020","1371,36","4,022","1425,33","0,032"
12,"1626,75","0,022","1297,74","5,022","1504,79","0,033"
13,"1616,74","0,023","1296,80","6,022","1458,89","0,034"
14,"1548,39","0,023","1476,41","7,022","1381,52","0,035"
15,"1575,06","0,021","1460,29","8,022","1347,76","0,055"
16,"1621,27","0,035","1621,27","9,022","1388,54","0,041"
17,"1659,44","0,034","1629,29","10,022","1553,08","0,040"
18,"1616,74","0,021","1503,84","11,022","1378,08","0,035"
19,"1621,27","0,023","1461,57","12,022","1584,84","0,039"
20,"1633,75","0,027","1468,16","13,022","1630,63","0,052"
21,"1547,39","0,025","1345,91","14,022","1473,77","0,043"
22,"1673,13","0,019","1505,37","15,022","1531,03","0,034"
23,"1605,61","0,032","1442,08","16,022","1300,22","0,040"
24,"1622,34","0,022","1622,34","17,022","1379,13","0,033"
25,"1628,77","0,028","1628,77","18,022","1491,48","0,036"
26,"1547,39","0,024","1378,50","19,022","1541,95","0,032"
27,"1605,61","0,019","1605,61","20,022","1411,65","0,035"
28,"1605,27","0,022","1605,27","21,022","1483,93","0,036"
29,"1547,39","0,021","1425,30","22,022","1426,34","0,032"
30,"1576,35","0,037","1576,35","23,022","1364,08","0,039"
